transaction_id,transaction_ts,customer_id,card_type,merchant_id,transaction_amount,currency,country,channel,fraud_flag,promo_code
T061,2025-12-15 10:11:00,C027,MasterCard,M006,3093.92,INR,IN,Mobile,0,PROMO14
T062,2025-12-17 03:11:00,C026,MasterCard,M004,2184.96,,,Mobile,0,PROMO37
T063,2025-12-16 18:05:00,C028,AMEX,M008,4348.05,,,Mobile,0,PROMO26
T064,2025-12-13 04:22:00,C008,VISA,M005,2017.36,GBP,GB,POS,0,PROMO75
T065,2025-12-08 14:08:00,C007,AMEX,M016,2912.55,INR,IN,Mobile,0,PROMO43
T066,2025-12-11 19:11:00,C018,VISA,M003,2786.1,USD,US,Online,1,PROMO26
T067,2025-12-19 07:13:00,C022,AMEX,M010,2190.2,,,POS,0,PROMO55
T068,2025-12-07 03:38:00,C028,VISA,M001,1669.76,INR,IN,POS,1,PROMO66
T069,2025-12-06 05:15:00,C025,AMEX,M018,1566.32,INR,IN,Mobile,0,PROMO52
T070,2025-12-24 21:21:00,C002,VISA,M004,2643.88,INR,IN,POS,0,PROMO48
T071,2025-12-06 15:30:00,C019,VISA,M017,2177.14,INR,IN,Online,1,PROMO52
T072,2025-12-23 08:21:00,C019,VISA,M003,1140.02,,,Mobile,0,PROMO99
T073,2025-12-23 02:16:00,C021,AMEX,M010,3485.16,USD,US,Mobile,0,PROMO18
T074,2025-12-03 21:55:00,C003,AMEX,M014,1755.82,GBP,GB,Online,0,PROMO40
T075,2025-12-28 01:05:00,C029,VISA,M018,2537.01,,,POS,0,PROMO45
T076,2025-12-17 10:13:00,C002,AMEX,M016,115.88,,,Online,0,PROMO35
T077,2025-12-05 05:17:00,C020,AMEX,M009,2251.35,USD,US,Mobile,0,PROMO96
T078,2025-12-15 08:49:00,C024,VISA,M015,2957.12,INR,IN,POS,0,PROMO23
T079,2025-12-28 08:15:00,C023,AMEX,M015,858.12,USD,US,Online,0,PROMO98
T080,2025-12-07 22:33:00,C020,MasterCard,M001,2612.78,USD,US,POS,0,PROMO94
T081,2025-12-21 05:40:00,C026,VISA,M010,240.61,AUD,AU,Online,0,PROMO95
T082,2025-12-20 13:42:00,C005,MasterCard,M007,792.02,AUD,AU,Mobile,0,PROMO31
T083,2025-12-20 12:01:00,C013,MasterCard,M016,1900.24,INR,IN,Online,0,PROMO21
T084,2025-12-28 07:11:00,C002,VISA,M019,2944.76,,,POS,0,PROMO20
T085,2025-12-10 16:55:00,C006,VISA,M006,1673.96,USD,US,Mobile,0,PROMO48
T086,2025-12-02 09:57:00,C009,MasterCard,M006,878.71,USD,US,Online,0,PROMO74
T087,2025-12-20 16:06:00,C006,MasterCard,M008,1760.59,,,POS,0,PROMO43
T088,2025-12-10 13:41:00,C017,AMEX,M001,4539.24,,,POS,1,PROMO88
T089,2025-12-10 13:18:00,C001,MasterCard,M019,154.54,GBP,GB,POS,0,PROMO30
T090,2025-12-09 00:46:00,C012,VISA,M017,4683.05,INR,IN,Online,0,PROMO80
