transaction_id,transaction_ts,customer_id,card_type,merchant_id,transaction_amount,currency,country,channel,fraud_flag
T181,2025-12-27 22:11:00,C030,AMEX,M009,2881.35,USD,US,Online,0
T182,2025-12-08 01:07:00,C026,AMEX,M002,1507.62,AUD,AU,Online,0
T183,2025-12-09 22:32:00,C024,AMEX,M019,3890.64,INR,IN,Mobile,0
T184,2025-12-05 09:15:00,C016,MasterCard,M012,2513.0,AUD,AU,Online,0
T185,2025-12-02 02:27:00,C014,VISA,M019,2856.23,AUD,AU,Online,0
T186,2025-12-01 10:45:00,C018,VISA,M009,1336.9,USD,US,POS,0
T187,2025-12-15 21:31:00,C016,MasterCard,M004,1006.52,AUD,AU,Mobile,0
T188,2025-12-05 12:03:00,C022,MasterCard,M003,2763.22,AUD,AU,Online,0
T189,2025-12-28 01:10:00,C009,AMEX,M016,4592.07,,,POS,0
T190,2025-12-23 16:02:00,C005,VISA,M009,4711.07,AUD,AU,POS,0
T191,2025-12-18 23:57:00,C013,MasterCard,M013,733.49,INR,IN,POS,0
T192,2025-12-19 14:04:00,C007,AMEX,M006,3608.24,INR,IN,Online,0
T193,2025-12-25 06:05:00,C013,AMEX,M006,2546.56,INR,IN,Online,0
T194,2025-12-09 18:00:00,C017,MasterCard,M015,4583.45,GBP,GB,POS,0
T195,2025-12-12 00:55:00,C023,MasterCard,M017,4073.16,USD,US,POS,0
T196,2025-12-18 10:05:00,C008,AMEX,M004,1304.6,GBP,GB,POS,0
T197,2025-12-09 21:24:00,C010,MasterCard,M015,3706.07,AUD,AU,POS,0
T198,2025-12-16 19:43:00,C014,MasterCard,M007,346.15,AUD,AU,Mobile,0
T199,2025-12-07 13:02:00,C014,VISA,M012,2101.74,AUD,AU,Online,0
T200,2025-12-14 07:54:00,C015,MasterCard,M012,2982.62,AUD,AU,POS,0
T201,2025-12-16 23:14:00,C004,AMEX,M017,1864.22,AUD,AU,Mobile,0
T202,2025-12-22 07:52:00,C009,AMEX,M010,3100.07,USD,US,Mobile,0
T203,2025-12-19 07:11:00,C023,MasterCard,M020,2323.47,USD,US,Online,0
T204,2025-12-11 07:49:00,C016,MasterCard,M007,2991.21,AUD,AU,Online,0
T205,2025-12-27 08:56:00,C004,MasterCard,M002,856.43,,,Online,0
T206,2025-12-11 01:23:00,C017,VISA,M016,4270.02,GBP,GB,Online,0
T207,2025-12-02 06:37:00,C030,MasterCard,M009,3936.01,USD,US,Mobile,0
T208,2025-12-10 05:12:00,C021,AMEX,M012,4016.75,USD,US,POS,0
T209,2025-12-09 01:03:00,C022,VISA,M003,509.46,AUD,AU,POS,0
T210,2025-12-05 13:42:00,C016,AMEX,M008,87.85,AUD,AU,Online,0
