transaction_id,transaction_ts,customer_id,card_type,merchant_id,transaction_amount,currency,country,channel,fraud_flag,device_type
T211,2025-12-08 08:03:00,C003,VISA,M020,597.33,GBP,GB,POS,0,Web
T212,2025-12-02 02:12:00,C020,VISA,M020,1984.12,,,Mobile,0,iOS
T213,2025-12-02 01:42:00,C007,VISA,M009,1892.6,,,Mobile,0,Android
T214,2025-12-21 10:17:00,C018,VISA,M016,176.81,USD,US,Mobile,0,Android
T215,2025-12-02 04:53:00,C007,VISA,M004,4814.31,INR,IN,Online,0,iOS
T216,2025-12-18 19:03:00,C018,VISA,M011,2844.66,USD,US,POS,0,iOS
T217,2025-12-15 05:51:00,C024,MasterCard,M015,3163.41,,,Online,0,iOS
T218,2025-12-11 00:22:00,C028,AMEX,M016,4788.85,INR,IN,POS,0,Android
T219,2025-12-19 16:11:00,C025,MasterCard,M017,3578.64,INR,IN,Mobile,0,iOS
T220,2025-12-04 20:35:00,C001,MasterCard,M003,979.4,GBP,GB,POS,0,Android
T221,2025-12-22 16:29:00,C006,VISA,M011,4522.56,,,POS,0,Web
T222,2025-12-19 01:08:00,C028,MasterCard,M016,2453.21,INR,IN,Online,0,Web
T223,2025-12-25 13:35:00,C014,MasterCard,M012,3066.16,,,Online,0,Android
T224,2025-12-10 10:31:00,C025,AMEX,M015,2309.62,,,Online,0,Android
T225,2025-12-22 00:44:00,C010,MasterCard,M007,2812.39,AUD,AU,Mobile,0,iOS
T226,2025-12-16 05:26:00,C029,MasterCard,M010,2239.81,,,Mobile,0,Web
T227,2025-12-09 00:05:00,C020,AMEX,M001,1427.17,USD,US,POS,0,Android
T228,2025-12-23 16:05:00,C021,MasterCard,M015,4365.97,USD,US,POS,0,Android
T229,2025-12-04 05:35:00,C003,MasterCard,M018,1301.48,,,POS,0,Android
T230,2025-12-04 06:52:00,C019,AMEX,M010,4414.63,INR,IN,Mobile,0,iOS
T231,2025-12-05 00:04:00,C029,VISA,M018,388.05,,,POS,0,Web
T232,2025-12-25 00:01:00,C010,AMEX,M019,1021.11,,,Online,0,Android
T233,2025-12-22 13:36:00,C015,VISA,M016,4181.29,,,Mobile,0,iOS
T234,2025-12-18 18:55:00,C013,VISA,M002,516.27,INR,IN,Online,0,Android
T235,2025-12-14 07:01:00,C017,MasterCard,M005,3831.14,GBP,GB,Mobile,0,iOS
T236,2025-12-18 14:25:00,C015,VISA,M014,3598.58,AUD,AU,Online,1,Android
T237,2025-12-20 02:04:00,C027,MasterCard,M018,3207.38,INR,IN,Mobile,0,Android
T238,2025-12-26 08:35:00,C018,AMEX,M011,297.4,,,POS,0,Web
T239,2025-12-11 08:18:00,C021,VISA,M013,2347.49,USD,US,Online,0,Web
T240,2025-12-22 22:10:00,C025,AMEX,M004,2291.66,INR,IN,Mobile,0,iOS
